#10000,100,,,,,,,,,,,,,,,,,,,
Index,AccelX_H,AccelX_L,AccelY_H,AccelY_L,AccelZ_H,AccelZ_L,GyroX_H,GyroX_L,GyroY_H,GyroY_L,GyroZ_H,GyroZ_L,MagX_H,MagX_L,MagY_H,MagY_L,MagZ_H,MagZ_L,Temp_H,Temp_L
175,FF,7B,0,53,8,68,FE,3B,4,47,FF,E3,0,0,0,0,0,0,D,A0
176,FF,C5,0,4F,7,8F,FF,0,4,3D,0,E1,0,0,0,0,0,0,D,50
177,FF,EB,FF,FC,6,F0,FF,C5,4,CC,1,A4,0,0,0,0,0,0,D,A0
178,FF,82,FF,76,7,B,FF,E3,5,35,1,8E,0,0,0,0,0,0,E,0
179,FE,A1,FF,B1,7,B8,0,34,4,E1,1,68,0,0,0,0,0,0,D,A0
180,FE,AB,FF,CF,7,8C,0,B,4,CB,1,43,0,0,0,0,0,0,D,A0
181,FE,99,FF,C4,7,8C,0,2E,4,A8,1,40,0,0,0,0,0,0,D,E0
182,FE,80,FF,A8,7,47,0,48,5,9,0,E5,0,0,0,0,0,0,D,A0
183,FE,0,FF,81,6,B9,FF,CE,5,E2,0,55,0,0,0,0,0,0,D,A0
184,FD,55,FF,B6,7,CC,FF,F8,5,AE,0,49,0,0,0,0,0,0,D,60
185,FC,CE,0,40,8,1B,0,C,5,2E,0,88,0,0,0,0,0,0,D,A0
186,FD,0,0,76,7,D4,0,30,4,A1,0,E9,0,0,0,0,0,0,D,A0
187,FC,FD,0,6B,7,3A,0,29,4,DA,1,42,0,0,0,0,0,0,D,A0
188,FC,F6,FF,CB,6,B5,0,1,5,45,1,54,0,0,0,0,0,0,D,C0
189,FC,AF,FF,83,6,32,0,59,5,91,1,75,0,0,0,0,0,0,D,A0
190,FC,F,FF,40,6,A3,0,A1,6,32,1,11,0,0,0,0,0,0,D,A0
191,FB,AA,FF,77,7,7,0,6,6,40,0,40,0,0,0,0,0,0,D,A0
192,FB,CE,FF,B1,6,5D,FF,C5,5,CC,FF,BC,0,0,0,0,0,0,D,D0
193,FB,C6,FF,E0,6,8,FF,E5,6,10,FF,CD,0,0,0,0,0,0,D,A0
194,FB,89,0,8,6,38,FF,B3,6,45,0,F,0,0,0,0,0,0,D,A0
195,FB,8D,0,D,5,BA,0,13,6,0,0,A7,0,0,0,0,0,0,D,A0
196,FA,FF,0,42,5,A4,0,58,6,79,0,FB,0,0,0,0,0,0,D,E0
197,FA,68,FF,EC,6,14,0,35,6,9E,0,E8,0,0,0,0,0,0,D,A0
198,FA,45,FF,96,6,1A,FF,F4,6,76,0,A5,0,0,0,0,0,0,D,D0
199,FA,24,FF,C5,5,D4,FF,F1,6,8,0,37,0,0,0,0,0,0,D,C0
200,FA,19,FF,F3,5,70,0,19,5,B0,0,21,0,0,0,0,0,0,D,C0
201,F9,B6,FF,A3,5,76,FF,D5,5,BF,FF,E3,0,0,0,0,0,0,D,C0
202,F9,59,FF,B3,5,D1,FF,C3,5,80,FF,76,0,0,0,0,0,0,D,70
203,F9,23,FF,C3,5,B9,FF,D2,4,B7,FF,50,0,0,0,0,0,0,D,C0
204,F9,2A,FF,D3,5,28,0,E,4,A,FF,5A,0,0,0,0,0,0,D,D0
205,F9,32,FF,CC,5,3A,FF,A9,3,E7,FF,2D,0,0,0,0,0,0,D,60
206,F9,E,FF,F7,5,63,FF,6D,3,56,FE,FD,0,0,0,0,0,0,D,A0
207,F9,1C,0,F,5,F,FF,CE,2,AA,FF,48,0,0,0,0,0,0,D,70
208,F9,2A,FF,E8,4,A5,0,6,2,74,FF,AF,0,0,0,0,0,0,D,60
209,F9,44,FF,B5,4,7B,0,2D,2,6F,FF,C0,0,0,0,0,0,0,D,A0
210,F9,47,FF,74,4,3C,0,51,2,82,FF,84,0,0,0,0,0,0,D,C0
211,F8,FE,FF,6E,4,77,FF,E0,2,95,FE,C4,0,0,0,0,0,0,D,A0
212,F8,A6,FF,C2,4,DB,FF,BB,2,7E,FE,93,0,0,0,0,0,0,D,C0
213,F8,26,FF,EC,5,89,FF,AF,1,AD,FE,AF,0,0,0,0,0,0,D,70
214,F7,F3,FF,F6,5,C0,0,24,0,A4,FF,3B,0,0,0,0,0,0,D,A0
215,F8,41,0,57,5,1D,0,5F,FF,3F,FF,E1,0,0,0,0,0,0,D,30
216,F8,4C,0,22,5,6,0,48,FE,A3,0,73,0,0,0,0,0,0,D,A0
